property_type,sector,area,areaWithType,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,111.0,1630.0,1699.0,3,5,3.0,7.0,3.0,1997.0,1750.0,1630.0,1,0,0,543.3333333333334,1.0,1.0,1.08
0.0,93.0,2262.0,1866.0,3,4,2.0,3.0,0.0,2262.0,1854.0,1576.0,0,1,0,754.0,2.0,2.0,1.4
0.0,10.0,1900.0,1605.0,3,4,3.0,3.0,3.0,1900.0,1305.0,1173.0,1,0,0,633.3333333333334,1.0,2.0,1.15
0.0,105.0,1935.0,1425.0,3,3,3.0,4.0,3.0,1703.0,1650.0,1600.0,0,0,1,645.0,1.0,2.0,1.25
0.0,6.0,2149.0,1802.0,3,4,4.0,0.0,3.0,2149.0,1186.0,1130.0,1,0,1,716.3333333333334,1.0,0.0,2.2
0.0,76.0,2764.0,2043.0,4,4,3.0,1.0,3.0,2764.0,2700.0,2500.0,1,0,1,691.0,0.0,2.0,3.0
0.0,70.0,2385.0,1923.0,3,3,3.0,5.0,3.0,2385.0,2300.0,2200.0,1,0,1,795.0,0.0,2.0,3.05
0.0,80.0,1500.0,1285.0,3,2,4.0,7.0,3.0,1500.0,1326.0,1050.0,0,0,1,500.0,2.0,1.0,0.9
0.0,75.0,1650.0,1675.0,4,4,3.0,1.0,3.0,1975.0,1800.0,1650.0,0,0,1,412.5,2.0,1.0,2.8
0.0,99.0,1741.0,1458.0,2,3,3.0,5.0,3.0,1741.0,1550.0,1350.0,0,0,0,870.5,1.0,2.0,1.17
0.0,59.0,1336.0,1155.0,2,2,2.0,0.0,0.0,1336.0,1330.0,1100.0,0,0,1,668.0,0.0,0.0,1.14
0.0,99.0,1169.0,1404.0,2,3,3.0,1.0,3.0,1671.0,1420.0,1169.0,0,0,1,584.5,0.0,0.0,1.18
0.0,99.0,1741.0,1460.0,2,2,3.0,5.0,3.0,1741.0,1730.0,1720.0,0,0,0,870.5,1.0,2.0,1.25
0.0,105.0,957.0,1170.0,2,2,3.0,5.0,3.0,1350.0,1050.0,950.0,0,0,0,478.5,2.0,2.0,0.65
0.0,99.0,2812.0,2066.0,4,4,3.0,1.0,3.0,2812.0,2600.0,2400.0,1,0,0,703.0,1.0,2.0,2.1
0.0,56.0,1776.0,1511.0,3,3,4.0,4.0,0.0,1776.0,1576.0,1476.0,1,0,1,592.0,0.0,2.0,1.76
0.0,65.0,2300.0,1960.0,3,3,4.0,4.0,2.0,2450.0,2400.0,2300.0,1,0,1,766.6666666666666,2.0,1.0,1.74
0.0,77.0,2436.0,1954.0,3,3,4.0,4.0,0.0,2436.0,2236.0,2036.0,1,0,1,812.0,0.0,0.0,2.95
0.0,107.0,2000.0,1715.0,4,3,2.0,0.0,1.0,2000.0,1983.0,1900.0,0,0,0,500.0,1.0,0.0,0.95
0.0,65.0,1850.0,1714.0,3,3,2.0,4.0,2.0,2000.0,1920.0,1850.0,1,0,1,616.6666666666666,2.0,2.0,1.54
0.0,76.0,1700.0,1662.0,3,4,3.0,2.0,3.0,1950.0,1920.0,1700.0,1,0,1,566.6666666666666,2.0,2.0,2.8
0.0,10.0,1760.0,1495.0,3,4,4.0,0.0,3.0,1760.0,1186.0,1130.0,1,0,1,586.6666666666666,0.0,0.0,1.15
0.0,99.0,961.0,1456.0,2,2,3.0,2.0,3.0,1741.0,1263.0,961.0,0,0,0,480.5,2.0,0.0,1.15
